Row Labels,Sum of value
"Sqn.         Ldr.         Qamar Mohyuddin Chishti, ADC to
the Prime Minister",130000
"Raja   Muhammad   Azeem- ul-Haq  Minhas,  Additional
Secretary,  Prime   Minister office (internal)",130000
"Mr. Faisal Tirmizi, Deputy Chief  of  Protocol,  DCP,
Foreign Affairs",130000
"Mr.   Imran   Hussain, Cameraman",130000
Mr.   Masroor   A.   Junejo.,130000
"Mr.   Ahsan   Iqbal, Interior Minister",130000
"Mr.          Muhammad Hanif, photographer",130000
"Lt.  Cdr.  Fahad,  ADC (P)",130000
"Maj.      Gen.      Tassawar Hussain, PP (P)",130000
"Khawaja         Asif, Foreign Minister",130000
"Dr. Asif Irfan, Physician to the Prime Minister",130000
"Federal   Minister   for Communication,   Mr. Murad Saeed",130000
"Brig.    Mian    Muhammad Hilal     Hussain,     Military Secretary        to        the
President, MS (P)",130000
"Ahmed Farooq, Director to Minister of State",130000
Wg.   Cdr   Shahzad   Fatah ADC to the Prime Minister,125000
"Mr. Usman Tarakai, MNA",125000
"Dr.       Arif       Alvi,
President of Pakistan",125000
Begum Prime Minister,125000
"Brig.      Raja      Samiullah, Personal  physician  to  the Prime Minister",125000
"Mian    Raza    Rabbani, Chairman Senate",122700
"Admiral       Muhammad Zakaullah, Naval Chief",122000
"Mr.    Nawazish    Ali, ASI, Gunman",121500
"Sqn. Ldr. Saad Bin Raza,     ADC     to
President",120000
"Sepoy      Atiq      ur Rehman,           SSG Gunman",120000
"Ms.   Nasreen,   Maid, PM Office",120000
"Mr.      Arshad      Ali, Photographer  PID",120000
"Mr.         Muhammad Ikram           Abbasi, Cameraman PTV",120000
"Mr.      Rauf      Klasra, Editor",120000
"Maj.    Imran    Ali, Security     Officer, President
Secretariat",120000
"Maj. General and
Begum     Shafaat     Ullah Shah, MS to President",120000
"Constable,        Malik Qasim      Mehmood, Gunman",120000
"Foreign   minister   of
Pakistan,           Shah Mehmood Qureshi",120000
"Col.    Salman    Saleem,
Classified             Medical Specialist.",120000
Mr.   Khushnood   Ali Khan,118000
"Makhdoom              Shah Mehmood   Qureshi,   Ex- Foreign Minister",117500
Wg.   Cdr.   Zulfiqar   Javed,115000
"Sqn. Ldr. Rizwan Satti, PAF",115000
Wg.   Cdr   Usman   Ahmed PAF,115000
"Sqn.   Ldr.   Farooq   Akbar, PAF",115000
"Sqn. Ldr. Arif Khan, PAF",115000
"Mr. Bilal Shaikh, SO to the President",115000
"Mr.       Asad       Majeed,
Additional        Secretary, (FA), President Sectt.",115000
"Lt.   Col.   Baber   Mumtaz, CSO to the President",115000
"Maj. Waqar Ahmed, SO to the President",115000
"Dr.   Waqar   Masood Khan,       Secretary,
Economic       Affairs Division",115000
"Hav.    Muhammad    Jamil, Security    Staff    to    the President",115000
"The      first      lady      of Pakistan, wife of Dr. Arif Alvi",113900
"Capt. Aziz ul Haq PN, DPS",112800
"Wg.  Cdr.  Waqar  Ahmed, Deputy Military  Secretary to the Prime Minister",111500
"Syed       Safdar       Ali, Cameraman,        Prime
Minister Media Team",110000
"Syed             Ahmed
Mujtaba        Gillani, Brother    of    Prime Minister,        Yousaf
Raza Gillani",110000
"SP    Rana    Shoaib,
CSO   to   the   Prime Minister",110000
"Sqn    Ldr    Khurram Javed,  ADC  to  the Prime Minister",110000
"Pir M. Shah Khagga, MNA",110000
"Rana    Jawad,    Director Geo News, Islamabad",110000
"Ms.   Nuzhat   Sadiq, MNA",110000
"Rai Aziz Ullah Khan, MNA",110000
Rear    Admiral    Salman Ilyas  SI(M)  of  Pakistan Navy,110000
"Mr.  M.  Umair,  Protocol Assistant   M/o   Foreign
Affairs",110000
"Mr. Abdul Shakoor, ASI (Gunman), PM Office",110000
"Mr. M. Hanif, Protocol Officer, PM Office",110000
"Mr.   Haroon   Sharif, Chairman,  Board  of
Investment",110000
"Mr.    M.    Hanif    Khan, Photographer, PID",110000
"Mr.   Asad   Yar   Khan, Reporter,             Prime Minister Media Team",110000
"Mr.     Zia-ur-Rehman, Secretary  Ministry  of
Food and Agriculture",110000
"Mr.     Naseer     Ahmed Javed, Gunman",110000
"Mr.   Khurshid   Nadeem, Media Person",110000
"Mr.   M.   Afzal   Tanvir, Engineer, PTV",110000
"Mr.   Abid   Ullah   Jan, Valet, PM Office",110000
"Mr.       Sakhwat       Ali, Gunman",110000
"Mr.     Irfan     Ashraf Qazi,   PRO   to   the
Prime Minister",110000
"Maj.  Gen.  Rehan  Abdul Baqi, DGITD",110000
"Maj.  Gen.  Akhtar  Jamil Rao, HI (M), DG Engrs.",110000
"Lt.  Gen.  Khalid  Asghar HI (M), E-in-C",110000
"Maj. Gen. Syed Shafqat Asghar, DGWE",110000
"Maj.  Gen.  Muhammad Ajmal      Iqbal,      HIM, Comdt MCE",110000
"Maj.      M.      Imran, Security Officer to the Prime    Minister,    PM
Office",110000
"Brig            Waseem
Cheema  MS  to  the Prime Minister",110000
"Brig.               Azhar Mahmood     Kayani, Personal    Physician
to       the       Prime Minister",108404
"Mr.   Shaukat   Aziz, Finance Minister",108075
"Mr. Muhammad Ali Durrani, Minister     Information     &
Broadcasting",107600
"Mr.       Ashfaq       Ahmed Gondal,   Press   Secretary to the Prime Minister",107000
"Mir Abdul Rahman Jamali, Minister      of      S&GAD, Government                 of
Balochistan",107000
"Mian  Waheeduddin,  PSO to the Prime Minister",107000
"Brig   Retd.   Mian   Khalid Habib,    Chief    protocol, Foreign Affairs",107000
"Dir Com, HIT Taxila",104436
Mr. Mohsin Ali,104000
Mr.     Aamir     Ilyas Rana,103500
Mr. Abdul Hamid,103000
"Mr.  Khurshid  M.  Kasuri, Foreign Affairs Minister",101935
Mrs. (Major General Nadeem Taj),101500
"Mr.   Moin-ul-Haq,   Chief
of  Protocol,  Ministry  of Foreign Affairs",101500
"Syed Muhammad Danish Ali, Engineer, PTV.",100000
"Syed  Sharif  uddin  Pirzada, Advisor     to     the     Prime
Minister",100000
"Senator  Tariq  Azim  Khan,
Minister     of     State     for Information & Broadcasting",100000
"SP     Mahzoor     Ali,
Addl. Security officer to the Prime Minister",100000
"PA-36022   Brig   Atif Mujtaba,    Cdr.    60 Bgd.",100000
"President           of Pakistan, Mr.Mamnoon
Hussain",100000
"Mr.  Muhammad  Ikram, Cameraman, PTV.",100000
Mr.  M  Ikram  Abbasi Camera man PTV,100000
"Mr.  M  Faisal  Ilyas, PRO   to   the   Prime
Minister",100000
"Mr.  Adeel  Ahmed  Khan,",100000
"Mr.  Muhammad  Naeem Khan, Cameraman, APP",100000
"Mr.    Aftab    Ahmed    Khan Sherpao,      Minister      for",100000
"Mr.    Shahbaz    Ahmed, Gunman.",100000
"Mr.    Muhammad    Aziz, Photographer, PID.",100000
"Mr.    Shahid     Hussain, Gunman.",100000
"Mr.      Zia-ul-Islam,
Joint        Secretary, Ministry of Interior",100000
"Mr.      Arshad      Ali, Photographer",100000
"Mr.      Adnan      Khalid, Gunman.",100000
"Mr.      Mohsin      Ali Mehmood,         Astt.
Protocol officer",100000
"Mr.      Saeed      Akhtar, Protocol Officer, MOFA",100000
"Makhdum Khusro Bakhtyar, Minister   of   State   Foreign
Affairs",100000
"Head  Constable  M.  Saghir,  Prime Minister Office",100000
Constable      Niamat Shah Police Gunman,100000
Constable   M   Yasir Police Gunman,100000
"Dr. Ashafaque Hasan Khan, DG (Debt) M/o Finance",100000
"Constable  M.  Aamir Khan,              Police Gunman",100000
"Constable           Asif
Hussain           Shah, Gunman",100000
"Chief          Minister, Punjab,            Mian Muhammad Shahbaz Sharif",100000
"Ch.   Shahbaz   Hussain, Minister   for   Population Welfare",100000
"Brig              Iftikhar
Cheema,       Military secretary     to     the
Prime Minister",100000
"Mr. Ghous Bux Khan Mahar,     Chairman, Standing Committee on     Industries     &
Production",99500
Donation for Earthquake Relief,98702
Mr. Qamarullah Ch.,98500
Mr. Tariq Mahmood,98500
Mr. Tariq Saleem,98000
Mr. Saleem Bokhari,98000
"Mr.  Adeel  Ahmed  Khan, Protocol  Officer,  Foreign
Affairs",96500
"Sq. Ldr. Tariq, PAF",95000
"Ms.      Naela      Chohan, Additional        Secretary (ME&A),     Ministry     of
Foreign Affairs",95000
"Mr.    Muhammad    Ajaz Malik,              Managing Director, National Power Construction
Corporation (NPCC)",95000
"Mr.             Farmanullah, Security Staff.",95000
"L/NK. Akbar Ali, Security Staff.",95000
Admiral  Abdul  Aziz  Mirza (Retd)    Ambassador    of Pakistan in Saudi Arabia,95000
"General                 Parvez Musharraf,   President   of",94200
"Begum PM, Wife of Mr. Muhammad        Nawaz Sharif, Kalsoom Nawaz",94000
Advisor   to   the   Prime Minister  on  commerce  & Investment   (Mr.   Abdul Razzaq Dawood),93000
"SP.   M.   Zeshan   Raza, CSO    to    the    Prime
Minister",90000
"Sqn    Ldr.    Malik    Jalal Farooq, ADC to President",90000
"Syed     Tariq     Fatemi, SAPM  on  Foreign  Affairs and Minister in Waiting",90000
"Ms.  Hina  Rabbani  Khar, Foreign      Minister      of Pakistan",90000
"Mr.     Sarfraz     Hussain,
Deputy              Director, President Secretariat.",90000
"Mr.    M.    Hanif    Khan, Protocol   Officer   Prime
Minister Office",90000
"Mr.   Nasser   ul   Haque Wyne  Air  Commodore,
PAF.",90000
"Mr.    Aman    Ullah    Khan Jadoon,       Minister       for Petroleum       &       Natural Resources",90000
"Mr.     Amjad     Mehmood, Protocol             Assistant, President Sectt.",90000
"Mr                Shafqat
Mehmood,     Federal Minister  for  Federal Education             of
Professional Training",90000
"Malik    Asif    Hayat,
Secretary      Labour and Manpower",90000
"Lt.  Col.  Syed  M.  Adnan, DMS (P), President Sectt.",90000
"Commodore    Shifat    Ali Khan, Pak Navy",90000
"Dr.      Adnan      Khan, Personal   Physician   to the Prime Minister",90000
"Barrister Nabeel Ahmed Awan, PSO to the Prime Minister",90000
"Mr.  Sikandar  Hayat  Khan Bosan,   Federal   Minister for   Food   Agriculture   &
Livestock",89500
"Brig.      Tahir      Mahmud
Malik,  Military  Secretary to the Prime Minister",89500
First lady of Pakistan,89000
"Mr.   Ishrat   Ali,   Secretary,   M/o
Overseas    Pakistanis    &    Human Resources Development",88000
"Mr.      Omer      Ayub
Khan,    Minister    for Energy",88000
Mr.     Asif     Ali     Zardari President of Pakistan,88000
"Admiral       Muhammad
Zakaullah,     Chief     of Naval Staff",87500
"Spouse of Mr. Moin Ul Haq, Chief of Protocol",87000
Lt.      General      Ashfaq Pervez Kiani,87000
"Mr.      Omer      Ayub Khan,    Minister    for
Energy",86000
"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of
Pakistan",85675
"Senator Tariq Azim Khan, Minister    of    State    for Overseas Pakistanis",85000
"SP.   M.   Zeshan   Raza, CSO    to    the    Prime",85000
"Syed  Javid  Hasnain Kazmi,   cameraman
PTV news",85000
"Sq.   Leader   Malik   Jalal
Farooq, ADC (Air) to the President",85000
"Shaikh    Rashid    Ahmed, Minister for Information & Broadcasting",85000
"Mrs.    Fauzia    M.    Sana, Additional Secretary (FSA),
PM office (Public)",85000
"Mr. Wazir Ali, Valet.",85000
"Mr. Shoukat Fayaz Ahmed Tarin,   Advisor   to   Prime Minister      on      Finance, Revenue, Economic Affairs and Statistics",85000
"Nawabzadar  Mir  Amer  Ali Khan Magsi, MNA",85000
Mr. Haider Khaqan Abbasi,85000
"Mr. Arbab Ghulam Rahim, Chief Minister of Sindh",85000
Mr.  Nadir  Khaqan Abbasi,85000
"Mr.  Awais  Ahmed  Khan, Leghari,   Minister   of   IT &Telecom",85000
"Mr.  Imran  Ali,  Protocol Assistant",85000
"Mr.  Adeel  Ahmad  Khan, Protocol  Officer,  Foreign Affairs",85000
"Mr.  Munir  Khan   Orakzai, MNA (FATA)",85000
"Mr.    Hamid    Yar    Hiraj, Minister    for    State    for Commerce",85000
"Mr.   Babar   Khan   Gauri, Federal Minister  for  Ports and Shipping",85000
"Mr.    M.    Junaid    Khan, Protocol Assistant.",85000
"Mr.   Rais   Munir   Ahmed, Ex-Minister    for    sports Culture & Youth",85000
"Mr.   Aftab   Ahmed   Khan Sherpao,     Minister     of Interior",85000
"Mr.    Muhammad    Anwar
Malik,  PSO  to  the  Prime Minister",85000
"Mr.   Habibullah   Waraich, Minister for defence",85000
"Mr.   Muhammad   Naseer Mengal,      Minister      for Petroleum     &     Natural Resources",85000
"Mr.    Muhammad    Nasir Khan, Federal Minister for Health",85000
"Mohammad    Ijaz-ul-Haq, Federal      Minister      for Religious Affairs",85000
"Mr.              Nouraiz Shakoor,      Minister
for   Petroleum   and Natural Resources",85000
"Mr.      Sheikh      Rasheed Ahmed,      Minister      for Information               and
Broadcasting",85000
Mr.          Abdullah Khaqan Abbasi,85000
Mr.        Muhammad Younis Khan,85000
"Mr.     Amir     Ilyas Rana,         Bureau
Chief         Express
News",85000
"Lt.  Col.  Salman  Saleem
Classified             Medical Specialist",85000
"Lt.   Cdr.   Syed   Salman Shah, ADC (Navy) to the
President",85000
"Maj   General   Shafatullah Shah,  Military  Secretary to President",85000
Minister   for   Housing   & Works,85000
"Major  General  Nadeem  Taj,  Military Secretary to President.",85000
"L/NK.    Abdul    Rehman, Security Staff",85000
"Lt.  Col.  Baber  Mumtaz, Chief    Security    Officer
(CSO) to the President",85000
"Maj.              Muhammad
Shakeel,    SO    to    the President",85000
"Dr. Asim Hussain, Minister for  Petroleum  and  Natural Resources",85000
"Const.  Muhammad  Riaz, Special Brach.",85000
"Farooq     Ahmed     Awan, Secretary         Information Technology",85000
"Hav.   Muhammad   Jamil, Security Staff",85000
"Cdr. Imran  Javed, ADC to the Prime Minister",85000
Capt.  Imran  Khalid  Shafi  PN  of Pakistan Navy,85000
"Ch.     Shabaz     Hussain, Minister    for    Population Welfare",85000
"Brig.     Tahir     Ali     Malik Military   Secretary  to   the
Prime Minister",85000
"Sqn.    Ldr.    Waqar Ahmed,  ADC  to  the
Prime Minister",83385
"Mr.     Sher     Afgan Khan,       Additional
Secretary,    Foreign Affairs",83225
"President           of
Pakistan,          Mr.",83168
"Brig Nauman Anwar,
Director Marketing & Procurement",82200
"Mr.  Pervez  Zahoor,
CSO   to   the   Prime Minister",81856
"Sheikh        Rasheed Ahmed,  Minister  for Information",80000
Minister for Interior,80000
"Khalil            Hashmi
Director        General (UN)",80000
Defense Minister,80000
"Begum              Admiral Muhammad   Zakaullah,
Naval Chief",80000
"Mr. Ghous Bux Khan Mahar,     Chairman, Standing Committee on     Industries     & Production",76800
"Major  General  Nadeem  Taj,  Military Secretary to Chief Executive",76003
"Mr.  Adeel  Ahmed  Khan, Protocol  Officer,  Foreign Affairs",76000
"Lt  Cdr  Wajeeh  ul  Hassan  PN,  DD Diving (LCO, DFMC",76000
"Mr.  Safdar  Ali,  Protocol Assistant           President Secretariat",75500
"Mr.   Ghulam   Ali   Valet, President sect.",75500
Lt.  Cdr  Amir  Saeed  ADC to the President,75500
"Mir  Zafarullah  Khan Jamali,           Prime
Minister of Pakistan",75100
"Sub                  Inspector
Muhammad        Manzoor
(Gunman),             Prime Minister Office",75000
"Sqn.  Ldr  Usman  Ahmad, Member   of   Air   Crew, President entourage",75000
"SP    Muqaddus    Haider, Security  Officer  to  Prime Minister",75000
"SP     Mahzoor     Ali Ghauri,            Chief
Security   Officer   to the Prime Minister",75000
"SP    Asad    Hussain    Alvi, Security    Officer    to    the
Prime Minister",75000
"Ms.  Naela  Chohan,  AS. Ministry      of      Foreign
Affairs",75000
"NK     Nasir     Mahmood, Prime Minister Office",75000
"Mr. Zubair Ahmed, Deputy
Secretary   to   the   Prime Minister",75000
"Mr. Munir Ahmad Chishti PSP,    IB,    Incharge    of Advance             Security Technical   Team   of   the Prime Minister,",75000
"Mr. Rafaqat Hussain, PTV Engineer,  Prime  Minister Media Team",75000
"Mr.  Imtiaz  A.  Kazi,  Director  (Gulf Region), Foreign Affairs",75000
"Mr.  Zafar  Yab  Khan,  PRO",75000
"Mr.  Imran  Mehmood  SSP
Chief   Security   Officer   to the Prime Minister",75000
"Mr.  Ammar  Amin  Protocol Officer, Foreign Affairs",75000
"Mr.  Murad  Ashraf  Janjua, Deputy  Chief   of   Protocol
(DCP), M/o Foreign Affairs",75000
"Mr.   S.   Anwar   Mahmood,   Secy, Information           and           Media Development.",75000
"Mr.   Masroor   A.   Junejo, Additional           Secretary (Middle   East   &   Africa), Foreign Affairs",75000
"Mr.     Saifullah,     UDC     (BS-07), President Sectt.",75000
"Mr.    Muhammad    Afzal Tanvir, PTV, Engineer",75000
"Mr.     Noorullah     Khan,     Director General (ME), Foreign Affairs",75000
"Mr.   Iftikhar,   Reporter Geo News, Lahore",75000
"Mr.     Rizwan     Bashir Khan,            Secretary Ministry  of  Information
Technology             and",75000
"Mr.   Hidayatullah   Abro, Prime    Minister    Media Team, (Cameraman)",75000
"Mr.   Arslan   Asad,   News Reporter, PTV News",75000
"Mr.   M.   Sadiq   Sanjrani, Chief   Coordinator,   Prime
Minister’s Grievances wing",75000
"Mr.      Umar      Farooq Ahmed,            Protocol Officer, Foreign Office",75000
"Mr.      Masood      Akhtar, Deputy  Chief  of  Protocol,
Foreign Affairs",75000
"Mr.     Javed     A.     Qureshi,     Joint
Secretary    (B),    Chief    Executive Secretariat",75000
"Maj.      Shaheryar      Eqbal Saeed, ADC to President",75000
"Major   (Dr)   Abdul   Basit,   Medical Officer, Army House.",75000
"Member     of     Advance Security  Technical  Team of the Prime Minister, M. Sohail Younis, IB",75000
"Head               Constable Muhammad Ishaq, Prime Minister Office",75000
"Lt. Col. Ejaz Shahid, APS (C)",75000
"Lt. Gen. (R) Abdul
Qadir         Baloch, Minister in waiting",75000
"Constable      Muhammad Saghir,    Prime    Minister Office",75000
"Constable  Hamad  Raza, Prime Minister Office",75000
"Constable    Faqir    Shah,",75000
"Constable               Raziq Mehmood, Prime Minister Office",75000
"Constable     Haider     Ali,     Police gunman, Prime Minister Office",75000
"Brig.  Mian  Khalid  Habib, Chief Protocol",75000
"Brig. (Retd) Mian Khalid Habib, Chief of Protocol, Foreign Affairs",75000
"Brig. Nisar Dilawar Shah, Military     Secretary     to Prime Minister",75000
Capt.   M   Zahid   Zaheer   PN   of Pakistan Navy,75000
"Brig.    Asif    Akhtar, Ex-Defence Attache,
Embassy of Pakistan in Saudi Arabia",75000
"Shah  Mehmood  Hussain Qureshi, Foreign Minister
of Pakistan",73000
Military  Secretary  to  the President of Pakistan,73000
Auditor     General     for Pakistan,73000
"Sqn. Ldr. Ahsan Zafar, PAF",72000
"Sqn.  Ldr.  Tariq  Hameed, PAF",72000
Mr. Shakeel Snr. Tech. PAF,72000
"Mr.   Shahid    Iqbal,    Snr, Tech. PAF",72000
"Mr.   Tassawar   Riaz,   Snr. Tech. PAF",72000
"Mr.  Liaqat  Ali,  Snr,  Tech. PAF",72000
"Mr.   Zubair   Jillani,   Snr, Tech. PAF",72000
"Mr.       Hasham       Riaz Shaikh, Special Assignee
to the President",72000
"Mr.     Muhammad     Tariq, AWO, PAF",72000
"Brig   Imran   Malik,
Military Secretary to the Prime Minister",72000
"Mr.   Khurshid   M.   Kasuri,",71500
"Lt.     Cdr.     Ahmed Farooq Butt, ADC to the Prime Minister",70520
"Syed    Iqtidar    Huyssain Kousar,                   Chief
Cameraman,  PTV  Centre, Lahore,",70000
"Syeda   Fiza   Batool, Daughter   of   Prime Minister,        Yousaf
Raza Gillani",70000
"Syed  Salman  Shah,  ADC to the President",70000
"Syed     Naveed     Qamar, Minister for Water & Power",70000
"Mrs.     Itrat     Bano,
Wife of Syed Ahmad Mujtaba Gillani",70000
"Mrs. Aqeedat Zahra,
Wife  of  Syed  Qutab Ali Shah",70000
"Mr. Abdul Waheed Photographer, President
Secretariat",70000
"Mr.  Sanaullah  Ch,  Chief Cameraman PTV",70000
"Mr.   Ali   Imran,   Senior Reporter APP",70000
"Mr.    Abdul    Ghaffar, Engineer PTV",70000
"Mr.   Imran   Hussain, Cameramen PTV",70000
"Mr.     Shahid     Mehmood senior               Television
Engineer,                   PTV Headquarters",70000
"Mr.   M.   Hanif   Khan, Photographer PID",70000
"Mr.   Abdul   Shakoor,
ASI,  Gunman  to  the Prime Minister",70000
"Mr.      M.      Shaban, Gunman to the Prime
Minister",70000
"Mr.             Mamnoon
Hussain,  President  of Pakistan",70000
"Mr.     Arshad     Saleem News Editor, PTV",70000
"Mr.      Usman      Ghani Memon,    senior    News
Editor, PTV",70000
Mr.          Muhammad,70000
"Mr.       Masood       Alam, Engineer PTV",70000
"Mr.       Faqir       Ahmad, Controller     News     PBC,
Islamabad",70000
"Mr.      Nabeel      Ahmed Awan, PSO to the Prime Minister",70000
"Major   General   Shaukat Sulman Khan, D.G ISPR",70000
"Maj.  Imran  Hyder,  ADC to the President",70000
"Maj.   Gen.   Ali   Abbas Haider,    HI    (M)    SBt
DGMT ex MT Dte.",70000
"Khawaja         Asif,
Former       Foreign Minister",70000
"Lt.    Col.    Asim    Saleem Bajwa,    Deputy    Military
Secretary to the President",70000
"Capt  (PN)  Amir  Saeed, DMS   to   the   President, Deputy Military Secretary
to the President",70000
"Mr.          Muhammad Nawaz  Sharif,  Prime
Minister of Pakistan",67000
"Lt.   Gen.   Hamid   Nawaz Khan,   former   Secretary
Defence",66880
"NK   Ghulam   Akbar, SSG Gunman",66500
"Capt.    Tayyab    Wadood    Anwar TI(M) PN, DFMC",66000
"Raja Pervez Ashraf, Prime       Minister       of
Pakistan",65000
"Pakistan Navy’s Officers, Cdre   Rashid   Mehmood, during Expert Level Staff
Talks held on 16th  to 17th September, 2021",65000
"Pakistan Navy’s Officers, Capt    Tayyab    Wadood Anwar,    during    Expert Level Staff Talks held on 16th   to  17th   September, 2021",65000
"Mr. Bilal Shaikh, Security Officer to the President",65000
"Mr.  Shaukat  Aziz,  Former Prime Minister of Pakistan",65000
"Mr.  Salah-ud-Din  Malik, Reporter, PTV",65000
"Mr.  Faisal  Niaz  Tirmizi, Deputy Chief of Protocol,
(DCP), Foreign Affairs",65000
"Mr.  Manzoor  ul  Haq,  DG (ME), Ministry of Foreign
Affairs",65000
"Mr.     Shoaib     Saleem, Protocol           Assistant. President Secretariat",65000
"Mr.    Ehsanulllah    khan, Ambassador    /    Special envoy to President",65000
"Mr.    Imran    Mehmood, Chief  Security  Officer  to
the Prime Minister",65000
"Mr.      Zubair      Ahmed, Deputy  Secretary  to  the
Prime Minister",65000
"Maj.  Jamil  Ur  Rehman, Security   Officer   to   the President",65000
"Admiral        Muhammad
Zakaullah,  Chief  of  the Naval Staff Pakistan",65000
"Cdr   Memon   Asadullah, Pakistan Navy’s Officers, during Expert Level Staff Talks held on 16th  to 17th
September, 2021",65000
"Brig.   Imran   Malik,
Military Secretary to the Prime Minister",65000
"Mr.   Shaukat   Aziz, Advisor to the Prime Minister  on  Finance and           Economic
Affairs",63000
"Brig. (r) Mian Khalid Habib,     Chief     of Protocol,       Foreign
Affairs",62500
Principle Secretary to the Prime Minister,62000
"Mr.        Riaz        H. Khokhar,      Foreign
Secretary",62000
"Mr.     Ghulam     Sarwar, Minister   for   Labour   & Manpower",61000
"First  Lady  of  Pakistan, wife                          of
Mr.  Mamnoon  Hussain, President of Pakistan",60325
"Spouse      of      Secretary Education,   Mr.   Jehangir
Bashar",60000
"SP  M.  Suleman  Security Officer  to  Prime  Minister
(PM)",60000
"Syed  Masood  Alam  Rizvi, Cabinet Secretary,",60000
"Wing    Cadre.    Shahzad
Fatah,    ADC    to    Prime Minister",60000
"Sub   Inspector   Manzoor Hussain, Gunman",60000
"Pir   Syed   Fazal   Ali Shah,       Chairman,
Federal            Land Commission",60000
"Mukhtar     Ahmed,     SPI Branch,    Security    Staff
President Secretariat",60000
"Mr.  Wazir  Abbasi,  Valet, President Secretariat",60000
"Mr.  Junaid  Wazir,
DCP,          Foreign Affairs",60000
"Mr.     Tariq     Azizuddin, Former        Chief        of Protocol,     Ministry     of
Foreign Affairs",60000
"Mr.     Shaukat     Abbas, Assistant           Protocol Officer    to   the    Prime
Minister",60000
"Mr.   Arslan   Asad,   News Reporter, PTV",60000
"Mr.   Muhammad   Naeem
Khan,    Prime     Minister (PM) Sectt.",60000
"Mr.   Manzoor   Ali,   Cook President Secretariat",60000
"Mr.     Qaisar     Ali,     Chief Commissioner          Inland
Revenue,    Regional    Tax Office, Peshawar",60000
"Mr.    Waqas    Latif Mughal,   Assistant
Protocol, MoFA",60000
"Mr.     Tasawar     Khan, Chief   of   Protocol,   CP M/o Foreign Affairs",60000
"Mr.     Muhammad     Yar Kalyar,    Security    Staff President Secretariat",60000
"Mr.      Shafeq      Kureshi, Reporter APP",60000
"Mr.                  Sohail
Mahmood,     Foreign Secretary",60000
Mr     Hassan     Afzal,60000
"Mr.      Sadiq      Sanjrani, Coordinator,             PM’s Grievances Wing",60000
"Mr.       Sajid       Hameed Cameraman, APP",60000
"Maj.   Gen.   Akhtar   Iqbal, DCOS",60000
"Lt.   Col.   Qazi   Muhammad Ikram, APS (C)",60000
"Maj.      Shaheryar      Eqbal
Saeed,  ADC  to  President, ADC (P)",60000
"Lt.   Col.   Baber    Mumtaz, Addl. CSO to President.",60000
"Lt.  Col.  Syed  Muhammad Adnan,   DMS   to   President
(Deputy  Military  Secretary to the President)",60000
"Maj. Mobeen Umer Farooqi, Security Officer",60000
"L/NK     Saeed     Akhtar, Security  Staff,  President
Secretariat",60000
"L/NK    Abdul    Rehman,
Security  Staff  President Secretariat",60000
"Col.  Syed  Abid  Ali Shah, Military     Secretary     to
Governor KPK",60000
"Hav.  Akbar  Ali,  Security
Staff                 President Secretariat",60000
"Const.  Waseem  Ahmed, Gunman",60000
"Hav.  Muhammad  Zubair, SSG, Gunman",60000
Foreign        Minister Shah         Mahmood Qureshi,60000
"Hav. Amanullah, Security
Staff                 President Secretariat",60000
"Dr.   Asim   Hussain, Chairman         NRB, Advisor    to    Prime Minister               on
Petroleum          and Natural Resources",60000
"Constable, Khawar Abbas Gunman",60000
"Daughter    of    Secretary
Education,   Mr.   Jehangir Bashar",60000
"Hav.   Muhammad   Jamil,
Security  Staff  President Secretariat",60000
"Cons     Sajid     Hussain, Security  Staff  President
Secretariat",60000
"Col. Muhammad Ilyas, CSO to President",60000
"Const.      Faqir      Shah, Gunman",60000
"Brig.    Tahir    Ali    Malik,
Military     Secretary     to Prime Minister",60000
"Brig.   Muhammad   Iftikhar Mansoor, DG (S)",60000
"Mr.    Abdul    Sattar,    Minister    for Foreign Affairs",59965
"Mr.  Shaukat  Aziz  Prime Minister, of Pakistan",59554
"Mian   Abdus   Sattar Laleka,  Minister  for Labour, Manpower & Overseas Pakistanis",59400
Finance Minister,58500
"Malik    Asif    Hayat, Additional
Secretary,       Prime Minister Secretariat",58216
"Mr.  Muhammad  Saleem, Information           Officer
President Sectt.",58000
"Maj.    General    Tasawar
Hussain,             Personal physician to the President",58000
"Col.    ®    Salik    Nawaz,
Deputy  Chief  of  Protocol, Ministry of foreign Affairs",58000
"Mr.    Abdus    Sattar
Laleka,          Labour Minister",57800
"Mr.  Muhammad  Nawaz
Sharif,   Prime   Minister of Pakistan",57500
"Secretary     Ministry     of petroleum     &     Natural
Resources",57000
"Mr. Imran Khan, Prime Minister of",57000
"Mr.      Fawad      Hasan Fawad, Secretary to the Prime Minister",56080
"Admiral        Muhammad Zakaullah  NI(M),  Naval Chief",56000
"Sqn. Ldr. Sohail, Member of   Air   Crew,   President
entourage",55000
"Syed   Ali   Haider   Zaidi,
Minister    for    Maritime Affairs",55000
"Sr.       Tech.       Shahid,
Member   of   Air   Crew, President entourage",55000
"Sr.  Tech.  Asim,  Member of   Air   Crew,   President
entourage",55000
"Ms.    Seema    Elahi Baloch,         Deputy Chief    of    Protocol,
Foreign Affairs",55000
"Mr.    Khurshid    Mahmud Kasuri, Foreign Minister",55000
"Mr.     Jehangir     Bashar, Secretary Education",55000
