"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value",,,,"Retention
cost",retention_cost,,,Remarks,,,
223,"a.  A    wrist    watch
gent’s Bvlgari
b.  a    ladies    wrist watch Bvlgari","Mr.   Aftab   Ahmed   Khan Sherpao,     Minister     of Interior",15/09/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-",  Rs,"45,000",,"Rs.11,250/-",11250.00,-,,"Amount deposited, gift retained",,,
234,"a.  One  wrist  watch Bvlgari
b.  One  wrist  watch Bvlgari","Mr.   Habibullah   Waraich, Minister for defence",27/09/2004,"a. Rs.45,000/-
b. Rs.40,000/-", Rs,"45,000",,"Rs.11,250/-",11250.00,-,,"Amount deposited, gift retained",,,
236,"a.  One wrist watch Bvlgari (gents)
b.  One wrist watch Bvlgari (ladies)","Mr.   Babar   Khan   Gauri, Federal Minister  for  Ports and Shipping",29/09/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-",  Rs,"45,000",,"Rs.11,250/-",11250.00,-,,"Amount deposited, gift retained",,,
263,"a.  One  Wrist  watch Bvlgari
b.  One  Wrist  watch Bvlgari","Mr.    Hamid    Yar    Hiraj, Minister    for    State    for Commerce",21/10/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-",  Rs,"45,000",,"Rs.11,250/-",11250.00,-,,"Amount deposited, gift retained",,,
274,"a.  One  wrist  watch Bvlgari (gents)
b.  One  wrist  watch Bvlgari (ladies)","Mr.    Muhammad    Nasir Khan, Federal Minister for Health",27/10/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-",  Rs,"45,000",,"Rs.11,250/-",11250.00,-,,"Amount deposited, gift retained",,,
275,"a.  One  Wrist  watch Bvlgari
b.  One  Wrist  watch Bvlgari","Ch.     Shabaz     Hussain, Minister    for    Population Welfare",28/10/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-",  Rs,"45,000",,"Rs.11,250/-",11250.00,-,,"Amount deposited, gift retained",,,
278,"a.  One  wrist  watch Bvlgari
b.  One  wrist  watch Bvlgari","Senator Tariq Azim Khan, Minister    of    State    for Overseas Pakistanis",05/11/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-",  Rs,"45,000",,"Rs.11,250/-",11250.00,-,,"Amount deposited, gift retained",,,
292,"a.  One  wrist  watch Bvlgari (gents)
b.  One  wrist  watch Bvlgari (ladies)","Mr.   Rais   Munir   Ahmed, Ex-Minister    for    sports Culture & Youth",22/11/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-",  Rs,"45,000",,"Rs.11,250/-",11250.00,-,,"Amount deposited, gift retained",,,
333,"a.  One  wrist  watch Bvlgari
b.  One  wrist  watch Bvlgari","Mr.   Muhammad   Naseer Mengal,      Minister      for Petroleum     &     Natural Resources",24/12/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-",  Rs,"45,000",,"Rs.11,250/-",11250.00,-,,"Amount deposited, gift retained",,,
41,One   wrist   watch Chopard,Mr. Abdul Hamid,31/01/2003,"Rs.85,000/-","85,000",,,"Rs.11,250/-",11250.00,-,,"Amount deposited, gift retained",,,
51,One   wrist   watch Chopard,Mr. Mohsin Ali,31/01/2003,Rs. 85000/-,85000,,,"Rs.11,250/-",11250.00,-,,"Amount deposited, gift retained",,,
147,"One  wrist  watch, Bvlgari","Mr.              Nouraiz Shakoor,      Minister
for   Petroleum   and Natural Resources",01/04/2003,"Rs.85,000/-","85,000",,,"Rs.11,250/-",11250.00,-,,"Amount deposited, gift retained",,,
359,"a.  One   Wrist   Watch Raymond        Weil (Gents)
b.  One   Wrist   Watch
Nina Ricci (Lady’s)",Auditor General of Pakistan,03/10/2007,"a.  Rs.75,000/-
b.  Rs.8,500/-",  Rs,"75,000",,"Rs.11,025/-",11025.00,-,,"Amount deposited, gift retained",,,
56,"One   Mobile   Phone,   Huawei Mate 10 Pro",Mr.          Abdullah Khaqan Abbasi,12/04/2018,"Rs.85,000/-","85,000",,,"Rs.11,000/-",11000.00,-,,"Amount deposited, gift retained",,,
59,"One   Mobile   Phone,   Huawei Mate 10 Pro",Mr. Qasim Khan,12/04/2018,"Rs.85,000/-","85,000",,,"Rs.11,000/-",11000.00,-,,"Amount deposited, gift retained",,,
58,"One   Mobile   Phone,   Huawei Mate 10 Pro",Mr. Haider Khaqan Abbasi,12/04/2018,"Rs.85,000/-","85,000",,,"Rs.11,000/-",11000.00,-,,"Amount deposited, gift retained",,,
57,"One   Mobile   Phone,   Huawei Mate 10 Pro",Mr.  Nadir  Khaqan Abbasi,12/04/2018,"Rs.85,000/-","85,000",,,"Rs.11,000/-",11000.00,-,,"Amount deposited, gift retained",,,
99,One   W/Watch   (Aigner   Bari Chrono No.37500),"Mr.     Amir     Ilyas Rana,         Bureau
Chief         Express
News",10/09/2018,"Rs.85,000/-","85,000",,,"Rs.11,000/-",11000.00,-,,"Amount deposited, gift retained",,,
56,"One  IPhone  7,  Black, 32 GB","Admiral        Muhammad
Zakaullah,  Chief  of  the Naval Staff Pakistan",17/07/2017,"Rs.65,000/-","65,000",,,"Rs.11,000/-",11000.00,-,,"Amount deposited, gift retained",,,
69,One      Dinner      Set (Noritake) (34pcs),"Mr.             Mamnoon Hussain,  President  of Pakistan",15/05/2015,Rs. 65000/-,65000,,,"Rs. 11,000/-",11000.00,-,,"Amount deposited, gift retained",,,
20,"a.  Gold               set consisting  of  one gold      necklace, one    gold    ring, pair of ear ring
b.  Nokia Mobile set","Aijaz  Ahmed  Chaudhary, MNA",26/01/2004,"a.  Rs.60,469/-
b.  Rs.22,000/-",  Rs,"60,469",,"Rs.10,870/-",10870.00,-,,"Amount deposited, gift retained",,,
137,"One               Packet
containing        Table Cloths,   Two   Metal Surahi,              Two
perfumes,           one
necklace,            one","Mr.  Asif  Ali  Zardari, President of Pakistan",11/11/2010,"Rs.80,800/-","80,800",,,"Rs.10,620/-",10620.00,-,,"Amount deposited, gift retained",,,
45,One   wrist   watch Chopard,Mr. Tariq Saleem,31/01/2003,"Rs.80,000/-","80,000",,,"Rs.10,500/-",10500.00,-,,"Amount deposited, gift retained",,,
33,One   wrist   watch Chopard,Mr. Saleem Bokhari,31/01/2003,"Rs.80,000/-","80,000",,,"Rs.10,500/-",10500.00,-,,"Amount deposited, gift retained",,,
35,"One        Rifle        (P. BERKETTA,  BRESCIA- ITALIA,  8  M  59-7.62
NATO 006502",Defense Minister,05/05/2008,"Rs.80,000/-","80,000",,,"Rs.10,500/-",10500.00,-,,"Amount deposited, gift retained",,,
43,One   wrist   watch Chopard,Mr. Qamarullah Ch.,31/01/2003,"Rs.80,000/-","80,000",,,"Rs.10,500/-",10500.00,-,,"Amount deposited, gift retained",,,
250,"a.  Wrist          Watch Bvgari (Gents|)
b.  Wrist          Watch
Bvlgari Lady’s","Sheikh        Rasheed Ahmed,  Minister  for Information",25/10/2003,"a. Rs. 45,000/-
b. Rs.35,000/-", Rs,"45,000",,"Rs.10,500/-",10500.00,-,,"Amount deposited, gift retained",,,
8,"a.  One  Box  Containing Arabian Oud
b.  One Souvenir","Dr. Arif Alvi, President of Pakistan",23/02/2021,"a.  Rs.50,000/-
b.  NCV",  Rs,"50,000",,"Rs.10,000/-",10000.00,-,,"Amount deposited, gift retained",,,
57,"(a)One            Carpet (small)
(b)Two books","Mr.             Mamnoon Hussain,  President  of
Pakistan",15/05/2015,(a)Rs. 60000/- (b)NCV,60000,,,Rs. 10000/-,10000.00,-,,"Amount deposited, gift retained",,,
16,One wrist watch,"Mr.  Salah-ud-Din  Malik, Reporter, PTV",03/03/2014,"Rs.65,000/-","65,000",,,"Rs.10,000/-",10000.00,-,,"Amount deposited, gift retained",,,
256,One       Wrist       Watch Hamilton,"Col.  Syed  Abid  Ali Shah, Military     Secretary     to
Governor KPK",01/10/2011,"Rs.60,000/-","60,000",,,"Rs.10,000/-",10000.00,-,,"Amount deposited, gift retained",,,
22,"a)  One            hand painted  Tea  Set (16 pieces)
b)  One book
c)  One    piece    of Handicraft","First lady of Pakistan, wife of Dr. Arif Alvi",02/03/2020,"a)  Rs.45,000
b)  NCV
c)  5,000/-","45,000",,,"Rs.10,000/-",10000.00,-,,"Amount deposited, gift retained",,,
63,"One                 vase
(porcelain)","Dr.        Arif        Alvi, President of Pakistan",23/11/2020,"Rs.50,000/-","50,000",,,"Rs.10,000/-",10000.00,-,,"Amount deposited, gift retained",,,
147,One Prayer Bead,"Mr.     Omer     Ayub Khan,   Minister   for
Power Division",06/09/2019,"Rs.50,000/-","50,000",,,"Rs.10,000/-",10000.00,-,,"Amount deposited, gift retained",,,
41,One  Decoration  Piece  (Silver Made),"Mr. Shahid Khaqan Abbasi,         Prime
Minister             of
Pakistan",02/04/2018,"Rs.80,000/-","80,000",,,"Rs.10,000/-",10000.00,-,,"Amount deposited, gift retained",,,
131,One  W/Watch  (Murex) leather strap,"Mr.     Tasawar     Khan, Chief   of   Protocol,   CP M/o Foreign Affairs",21/10/2016,"Rs.60,000/-","60,000",,,"Rs.10,000/-",10000.00,-,,"Amount deposited, gift retained",,,
27,One Wrist Watch POG,"Mr.      Shafeq      Kureshi, Reporter APP",24/02/2012,"Rs.60,000/-","60,000",,,"Rs.10,000/-",10000.00,-,,"Amount deposited, gift retained",,,
28,One     Wrist     Watch Hamilton,"Mr.   Arslan   Asad,   News Reporter, PTV",24/02/2012,"Rs.60,000/-","60,000",,,"Rs.10,000/-",10000.00,-,,"Amount deposited, gift retained",,,
252,One       Wrist       Watch Longiness Qtz,"Mr.    Muhammad    Afzal Tanvir, PTV, Engineer",28/09/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
155,Wrist        Watch (Concord),"Mr.     Javed     A.     Qureshi,     Joint
Secretary    (B),    Chief    Executive Secretariat",07/07/2002,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
39,Wrist              Watch (Concord),"Mr.      Masood      Akhtar, Deputy  Chief  of  Protocol,
Foreign Affairs",03/03/2004,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
159,Wrist        Watch (Concord),"Brig. (Retd) Mian Khalid Habib, Chief of Protocol, Foreign Affairs",23/07/2002,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
253,One       Wrist       Watch Longines Qtz.,"Mr.    Muhammad    Tariq, Photographer, PID",28/09/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
308,Wrist  Watch  (Bvlgari) (L58843),"Maj.      Shaheryar      Eqbal Saeed, ADC to President",31/07/2007,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
183,Wrist        Watch (Concord),"Mr.  Imtiaz  A.  Kazi,  Director  (Gulf Region), Foreign Affairs",20/08/2002,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
189,Wrist        Watch (Concord),"Mr.     Noorullah     Khan,     Director General (ME), Foreign Affairs",29/08/2002,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
190,Wrist        Watch (Concord),"Major  General  Nadeem  Taj,  Military Secretary to Chief Executive",30/08/2002,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
192,Wrist        Watch (Concord),"Lt. Col. Ejaz Shahid, APS (C)",30/08/2002,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
193,Wrist        Watch (Concord),"Major   (Dr)   Abdul   Basit,   Medical Officer, Army House.",30/08/2002,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
49,"One         Gift         Pack Containing       (Perfume Kit): -
(i.e.    Perfume,    Luban dan,  Body  Spray  Body Gel,  Lighter,  Coke  and small    Pieces    of    Ood
Wood)","Mr. Rafaqat Hussain, PTV Engineer,  Prime  Minister Media Team",24/02/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
50,"One         Gift         Pack Containing       (Perfume kit): -
(i.e.    Perfume,    Luban dan,  Body  Spray  Body Gel,  Lighter,  Coke  and small    Pieces    of    Ood Wood.","Mr.   Hidayatullah   Abro, Prime    Minister    Media Team, (Cameraman)",24/02/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
56,"One         Gift         Pack Containing       (Perfume kit): -
(i.e.     Perfume,   Luban dan,  Body  Spray  Body Gel,  Lighter,  Coke  and
small    Pieces    of    Ood Wood.","Mr.  Adeel  Ahmed  Khan, Protocol  Officer,  Foreign Affairs",01/03/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
62,"One         Gift         Pack Containing       (Perfume kit): -
(i.e.     Perfume,   Luban dan,  Body  Spray  Body Gel,  Lighter,  Coke  and small    Pieces    of    Ood
Wood.","Sub                  Inspector
Muhammad        Manzoor
(Gunman),             Prime Minister Office",07/03/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
63,"One         Gift         Pack Containing       (Perfume kit): -
(i.e.    Perfume,    Luban dan,  Body  Spray  Body Gel,  Lighter,  Coke  and small    Pieces    of    Ood
Wood.","Head               Constable Muhammad Ishaq, Prime Minister Office",07/03/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
64,"One         Gift         Pack Containing       (Perfume kit): -
(i.e.Perfume,        Luban dan,  Body  Spray  Body Gel,  Lighter,  Coke  and
small    Pieces    of    Ood Wood.","NK     Nasir     Mahmood, Prime Minister Office",07/03/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
66,"One         Gift         Pack Containing       (Perfume kit): -
(i.e.Perfume,        Luban dan,  Body  Spray  Body Gel,  Lighter,  Coke  and small    Pieces    of    Ood Wood.","Constable               Raziq Mehmood, Prime Minister Office",07/03/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
67,"One         Gift         Pack Containing       (Perfume kit): -
(i.e.    Perfume,    Luban dan,  Body  Spray  Body Gel,  Lighter,  Coke  and small    Pieces    of    Ood Wood.","Constable      Muhammad Saghir,    Prime    Minister Office",07/03/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
68,"One         Gift         Pack Containing       (Perfume kit): -
(i.e.    Perfume,    Luban dan,  Body  Spray  Body Gel,  Lighter,  Coke  and small    Pieces    of    Ood Wood.","Constable  Hamad  Raza, Prime Minister Office",07/03/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
112,"One         Gift         Pack Containing       (Perfume kit): -
(i.e.    Perfume,    Luban dan,  Body  Spray  Body Gel,  Lighter,  Coke  and small    Pieces    of    Ood
Wood.","Mr.   Arslan   Asad,   News Reporter, PTV News",02/04/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
136,"One         Gift         Pack Containing       (Perfume kit): -
(i.e.    Perfume,    Luban dan,  Body  Spray  Body Gel,  Lighter,  Coke  and small    Pieces    of    Ood Wood.","SP    Muqaddus    Haider, Security  Officer  to  Prime Minister",28/04/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
140,"One         Gift         Pack Containing       (Perfume kit): -
(i.e.    Perfume,    Luban
dan,  Body  Spray  Body Gel,  Lighter,  Coke  and","Mr. Munir Ahmad Chishti PSP,    IB,    Incharge    of Advance             Security Technical   Team   of   the Prime Minister,",03/05/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
234,One       Wrist       Watch Longiness Qtz,"Sqn.  Ldr  Usman  Ahmad, Member   of   Air   Crew, President entourage",19/08/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
1,a.  One     Model     of Horse           Neck (Decoration piece),"Mr.  Asif  Ali  Zardari, President              of Pakistan",15/01/2009,"a.  Rs.25,000/-
b.  Rs.50,000/-
Total:- Rs.75,000/-",  Rs,"25,000",,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
51,"a.  One  wrist  watch Bvlgari
b.  One  wrist  watch Bvlgari","Brig.  Mian  Khalid  Habib, Chief Protocol",10/03/2004,"a.  Rs.40,000/-
b.  Rs.35,000/-",  Rs,"40,000",,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
220,Wrist              Watch (Concord),"Brig.    Asif    Akhtar, Ex-Defence Attache,
Embassy of Pakistan in Saudi Arabia",15/09/2003,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
145,Wrist        Watch Concord,"Mr.   S.   Anwar   Mahmood,   Secy, Information           and           Media Development.",21/06/2002,"Rs. 75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
65,One         Gift         Pack,"Constable    Faqir    Shah,",07/03/2011,"Rs.75,000/-","75,000",,,"Rs.9,750/-",9750.00,-,,"Amount deposited, gift retained",,,
88,"a.        Two        Ladies Handbags: -
(i)  One  handbag  Rug type","The      first      lady      of Pakistan, wife of Dr. Arif Alvi",07/12/2021,"a.
(i) Rs.4,000/-
(ii) Rs.4,000/-",,,,"Rs.9,500/-",9500.00,-,,"Amount deposited, gift retained",,,
20,"One  wrist  watch,
Bulgari (No.RT 45 S L-9366)","Brig   Imran   Malik,
Military Secretary to the Prime Minister",15/01/2003,"Rs.72,000/-","72,000",,,"Rs.9,300/-",9300.00,-,,"Amount deposited, gift retained",,,
132,One       revolver colt 44 cal,"General Parvez Musharraf, President
/ Chief Executive of Pakistan",14/06/2002,"Rs.72,000/-","72,000",,,"Rs.9,300/-",9300.00,-,,"Amount deposited, gift retained",,,
36,One       revolver clot,"General        Parvez         Musharraf, President/     Chief     Executive     of Pakistan",07/03/2002,"Rs.72,000/-","72,000",,,"Rs.9,300/-",9300.00,-,,"Amount deposited, gift retained",,,
123,"One W/Watch Raymond
Weil  Geneve  (5578-ST- 00300)","Admiral   M.   Zakaullah, Chief of Naval Staff",05/10/2016,"Rs.55,000/-","55,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
79,"One   Packet   Containing
Wrist  Watch,  Magnifier, Screw,  Spare  Strips  &","Syed  Salman  Shah,  ADC to the President",11/03/2011,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
168,One   wrist   watch   Tag Heuer,"Major   General   Shaukat Sulman Khan, D.G ISPR",17/12/2005,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
185,One   Wrist   Watch   Tag Heuer,"Mr.       Masood       Alam, Engineer PTV",15/08/2005,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
44,One  Wooden  Screen  (7 pcs),"Mr.    Asif    Ali    Zardari, President of Pakistan",21/01/2011,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
38,One   wrist   watch   Tag Heuer,"Mr. Abdul Waheed Photographer, President
Secretariat",06/07/2005,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
59,One   Tag   Heuer   wrist watch,"Mr.       Faqir       Ahmad, Controller     News     PBC,
Islamabad",09/08/2005,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
186,One   Wrist   Watch   Tag Heuer,"Mr.   Ali   Imran,   Senior Reporter APP",15/08/2005,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
286,A    wrist    watch    Tag Heuer,"Lt.    Col.    Asim    Saleem Bajwa,    Deputy    Military
Secretary to the President",21/09/2005,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
353,A    wrist    watch    Tag Heuer,"Mr.  Sanaullah  Ch,  Chief Cameraman PTV",24/08/2005,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
77,"One   Packet   Containing Wrist  Watch,  Magnifier, Screw,  Spare  Strips  &
booklet","Capt  (PN)  Amir  Saeed, DMS   to   the   President, Deputy Military Secretary
to the President",11/03/2011,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
78,"One   Packet   Containing Wrist  Watch,  Magnifier, Screw,  Spare  Strips  &
booklet","Maj.  Imran  Hyder,  ADC to the President",11/03/2011,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
102,One     Silver     Fruit Basket,"Mr.  Asif  Ali  Zardari, President of Pakistan",22/07/2010,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
142,One    Wrist    Watch PIPPO,"Mrs.     Itrat     Bano,
Wife of Syed Ahmad Mujtaba Gillani",23/12/2009,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
143,One    Wrist    Watch PIPPO,"Syeda   Fiza   Batool, Daughter   of   Prime Minister,        Yousaf
Raza Gillani",23/12/2009,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
144,One    Wrist    Watch PIPPO,"Mrs. Aqeedat Zahra,
Wife  of  Syed  Qutab Ali Shah",23/12/2009,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
81,One Wrist watch Tag,"Mr.   Ghulam   Ali   Valet, President sect.",09/03/2006,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
103,One  Wrist  watch  Tag Heuer,"Mr.     Arshad     Saleem News Editor, PTV",21/03/2006,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
111,One  Wrist  watch  Tag Heuer,"Mr.      Usman      Ghani Memon,    senior    News
Editor, PTV",29/03/2006,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
271,"One     wrist     watch,
Marco Valentino Swiss and a pair of Pen",Auditor     General     for Pakistan,22/09/2006,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
60,One   Tag   Heuer   wrist watch,"Syed    Iqtidar    Huyssain Kousar,                   Chief
Cameraman,  PTV  Centre, Lahore,",09/08/2005,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
183,One   wrist   watch   Tag Heuer,"Mr.     Shahid     Mehmood senior               Television
Engineer,                   PTV Headquarters",15/08/2005,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
197,One  Wrist  Watch  TAG HEUER,"Mr.  Safdar  Ali,  Protocol Assistant           President Secretariat",14/06/2005,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
288,A    wrist    watch    Tag Heuer,Lt.  Cdr  Amir  Saeed  ADC to the President,21/09/2005,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
135,One   wrist   watch Concord,"Brig    (r)    Mansoor Hamid,         Special Assistant     to     the
Prime Minister",17/03/2003,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
9,One               W/Watch,Admiral        Muhammad,31/01/2017,"Rs.55,000/-","55,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
106,Two carpets,"Syed Abrar Hussain,",30/07/2015,"(a)Rs.40,000/-","40,000",,,Rs.9000/-,9000.00,-,,"Amount deposited, gift retained",,,
65,One     Wrist     Watch,"Mr.   Khurshid   M.   Kasuri,",19/02/2007,"Rs.70,000/-","70,000",,,"Rs.9,000/-",9000.00,-,,"Amount deposited, gift retained",,,
22,One Pair of Cufflinks,"Mr.    Asif    Ali    Zardari, President of Pakistan.",21/01/2011,"Rs.68,595/-","68,595",,,"Rs.8,790/-",8790.00,-,,"Amount deposited, gift retained",,,
332,One Dagger,"Lt.   Gen.   Hamid   Nawaz Khan,   former   Secretary
Defence",19/04/2005,"Rs.66,880/-","66,880",,,"Rs.8,532/-",8532.00,-,,"Amount deposited, gift retained",,,
143,One   Silver   Decoration Piece,"Mian    Raza    Rabbani, Chairman Senate",05/12/2016,"Rs.52,200/-","52,200",,,"Rs.8,440/-",8440.00,-,,"Amount Deposited, gift retained",,,
148,One   W/Watch   (Rado) Ladies,"Begum     of     Admiral Muhammad   Zakaullah,
Chief of Naval Staff",06/12/2016,"Rs.52,000/-","52,000",,,"Rs.8,400/-",8400.00,-,,"Amount Deposited, gift retained",,,
86,"a.  One   mobile   set Nokia
b.  One Jewelry set","Dr.    H.    M.    Zafar Awan,         Personal Consultant   to   the
Prime Minister",13/02/2003,"a.  Rs.22,000/-
b.  Rs.43,717/-",  Rs,"22,000",,"Rs.8,358/-",8358.00,-,,"Amount deposited, gift retained",,,
95,"a.  One   mobile   set Nokia
b.  One Jewelry set","Brig.               Azhar Mahmood     Kayani, Personal    Physician
to       the       Prime Minister",14/02/2003,"a.  Rs.22,000/-
b.  Rs.43,404/-",  Rs,"22,000",,"Rs.8,311/-",8311.00,-,,"Amount deposited, gift retained",,,
79,"(a)One Ladies purse.
(b)One Shawl.
(c)Box           containing Necklace,       Pair       of
Earrings,  Bracelets  and Ring.","First  Lady  of  Pakistan, wife                          of
Mr.  Mamnoon  Hussain, President of Pakistan",05/04/2016,"(a)Rs.2,000/-
(b)Rs.4,000/-
(c)Rs.45,325/-","2,000",,,"Rs.8,265/-",8265.00,-,,"Amount deposited, gift retained",,,
265,One Watch Hamilton,"Mr. Bilal Shaikh, Security Officer to the President",04/10/2011,"Rs.65,000/-","65,000",,,"Rs.8,250/-",8250.00,-,,"Amount deposited, gift retained",,,
74,"a.  One   mobile   set Nokia
b.  One Jewelry set","Brig.   Imran   Malik,
Military Secretary to the Prime Minister",07/02/2003,"a. Rs.22,000/-
b. Rs.43,000/-", Rs,"22,000",,"Rs.8,250/-",8250.00,-,,"Amount deposited, gift retained",,,
160,One       Wrist       Watch (FENDI),"Mr.  Manzoor  ul  Haq,  DG (ME), Ministry of Foreign
Affairs",13/07/2011,"Rs.65,000/-","65,000",,,"Rs. 8,250/-",8250.00,-,,"Amount deposited, gift retained",,,
191,"Gents       Watch       Gio Monoco   Qtz   (Stainless
Steel)","Mr.  Faisal  Niaz  Tirmizi, Deputy Chief of Protocol,
(DCP), Foreign Affairs",25/07/2011,"Rs. 65,000/-","65,000",,,"Rs.8,250/-",8250.00,-,,"Amount deposited, gift retained",,,
217,One       Wrist       Watch Movado (No.4652275),"Mr.    Imran    Mehmood, Chief  Security  Officer  to
the Prime Minister",16/08/2011,"Rs.65,000/-","65,000",,,"Rs.8,250/-",8250.00,-,,"Amount deposited, gift retained",,,
229,One   Wrist   Watch   Gio Monocco (No.s n 0302),"Mr.      Zubair      Ahmed, Deputy  Secretary  to  the
Prime Minister",18/08/2011,"Rs.65,000/-","65,000",,,"Rs.8,250/-",8250.00,-,,"Amount deposited, gift retained",,,
